date,portfolio_return,cum_return,turnover
2015-07-07,0.008410043242000925,2.5115993994172667,0.0
2015-07-08,-0.00809484955115652,2.491268380146209,0.0
2015-07-09,-0.0017685975558518335,2.4868623289781118,0.0
2015-07-10,0.0013666640121601172,2.490261034226323,0.0
2015-07-13,0.02102665629046699,2.542622897066543,0.0
2015-07-14,0.010770240493608037,2.570007557152504,0.0
2015-07-15,-0.0011477615627139282,2.56705780126252,0.0
2015-07-16,0.013735956916521968,2.602318796622884,0.0
2015-07-17,-0.01703661073901526,2.5579841042659974,0.0
2015-07-20,0.0007867496994223688,2.5599965974911556,0.0
2015-07-21,0.003424359821017512,2.568762946981546,0.0
2015-07-22,-0.009036930337700366,2.545549215175608,0.0
2015-07-23,-0.004899487375174948,2.5330773289329684,0.0
2015-07-24,-0.011950840308453581,2.5028049262859264,0.0
2015-07-27,-0.0011571531228713808,2.4999087977495367,0.0
2015-07-28,-0.004291400896881199,2.489180686892753,0.0
2015-07-29,-0.009811394723660905,2.464758352635135,0.0
2015-07-30,-0.0032951970114249397,2.4566364882776472,0.0
2015-07-31,0.006078910270149923,2.4715701610562633,0.0
2015-08-03,-0.0061305130523765594,2.4564181679240433,0.7647081914759987
2015-08-04,0.009963603791347541,2.480892945295106,0.0
2015-08-05,0.0032764818495560847,2.4890215460010574,0.0
2015-08-06,0.0006421708776712996,2.490619923151796,0.0
2015-08-07,-0.0036624046573479336,2.4814982651455613,0.0
2015-08-10,-0.0028994266690266796,2.4743033428964547,0.0
2015-08-11,-0.007079115310339858,2.4567874642193313,0.0
2015-08-12,-0.0028323285385619583,2.4498290349712417,0.0
2015-08-13,0.004393059831336881,2.4605912804984165,0.0
2015-08-17,-0.008485093042198823,2.4397129345445645,0.0
2015-08-18,-0.007284577434821808,2.4219406567541384,0.0
2015-08-19,-0.013732763755855627,2.388680717884232,0.0
2015-08-20,-0.018768668165890894,2.343848362136001,0.0
2015-08-21,-0.033212342611585094,2.2660036673031376,0.0
2015-08-24,-0.02139190296941062,2.2175295367238603,0.0
2015-08-25,0.01734737287561202,2.255997848460092,0.0
2015-08-26,0.02310227539717557,2.3081165320506525,0.0
2015-08-27,0.00342851185646835,2.3160299369468986,0.0
2015-08-28,0.015519670116691435,2.3519739575486964,0.0
2015-08-31,-0.0014695325367592607,2.348517655292468,0.0
2015-09-01,-0.013559558148692143,2.3166727935822995,1.6753358217161285
2015-09-02,0.011168087464067304,2.342545597966652,0.0
2015-09-03,0.002826213151504338,2.3491661311436243,0.0
